Frecuencia,Duración
82.4068892282175,0.56818125
82.4068892282175,0.47727225
87.30705785825097,0.4090905
97.99885899543733,0.473010890625
97.99885899543733,0.44034046875
87.30705785825097,0.44602228125
82.4068892282175,0.40340868750000003
73.41619197935188,0.45738590625000003
65.40639132514966,0.40624959375
65.40639132514966,0.4374995625
73.41619197935188,0.46590862499999997
82.4068892282175,0.39772687500000004
82.4068892282175,0.363636
73.41619197935188,0.63352209375
73.41619197935188,0.1761361875
82.4068892282175,0.8196014531250001
82.4068892282175,0.464488171875
87.30705785825097,0.43181775
97.99885899543733,0.44176092187500005
97.99885899543733,0.43607910937500005
87.30705785825097,0.464488171875
116.54094037952248,0.06818175
82.4068892282175,0.38352234375
73.41619197935188,0.45312454687500003
65.40639132514966,0.424715484375
65.40639132514966,0.4090905
73.41619197935188,0.47443134375
82.4068892282175,0.43892001562500005
65.40639132514966,0.470169984375
65.40639132514966,0.38778370312500005
